Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.62     0.00       53     0.00     0.00  std::unique_ptr<std::__cxx11::basic_stringstream<char, std::char_traits<char>, std::allocator<char> >, std::default_delete<std::__cxx11::basic_stringstream<char, std::char_traits<char>, std::allocator<char> > > >::~unique_ptr()
  0.00      0.62     0.00       50     0.00     0.00  RadialFunctionImplementation::RadialFunctionImplementation(RadialFunctionImplementation const&)
  0.00      0.62     0.00       50     0.00     0.00  UniqueID::UniqueID(UniqueID const&)
  0.00      0.62     0.00       49     0.00     0.00  gtest_MoleculesHFPolarizedHartreeFockMoleculeTester_EvalGenerateName_(testing::TestParamInfo<int> const&)
  0.00      0.62     0.00       48     0.00     0.00  void std::vector<RadialFunction*, std::allocator<RadialFunction*> >::_M_realloc_insert<RadialFunction*>(__gnu_cxx::__normal_iterator<RadialFunction**, std::vector<RadialFunction*, std::allocator<RadialFunction*> > >, RadialFunction*&&)
  0.00      0.62     0.00       48     0.00     0.00  void std::vector<Orbital*, std::allocator<Orbital*> >::_M_realloc_insert<Orbital*>(__gnu_cxx::__normal_iterator<Orbital**, std::vector<Orbital*, std::allocator<Orbital*> > >, Orbital*&&)
  0.00      0.62     0.00       45     0.00     0.00  HamiltonianTermImplementation::UseChargeDensity(ChargeDensity const*)
  0.00      0.62     0.00       44     0.00     0.00  GaussianRF::GetNormalization(Polarization const&) const
  0.00      0.62     0.00       42     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::_Identity<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      0.62     0.00       42     0.00     0.00  void std::vector<Polarization, std::allocator<Polarization> >::_M_realloc_insert<Polarization const&>(__gnu_cxx::__normal_iterator<Polarization*, std::vector<Polarization, std::allocator<Polarization> > >, Polarization const&)
  0.00      0.62     0.00       42     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, bool> std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::_Identity<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_insert_unique<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.62     0.00       41     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00      0.62     0.00       40     0.00     0.00  GaussianRF::Clone() const
  0.00      0.62     0.00       40     0.00     0.00  ContractedGaussianRF::operator==(RadialFunction const&) const
  0.00      0.62     0.00       37     0.00     0.00  void std::vector<IntegralEngine1<double> const*, std::allocator<IntegralEngine1<double> const*> >::_M_realloc_insert<IntegralEngine1<double> const*>(__gnu_cxx::__normal_iterator<IntegralEngine1<double> const**, std::vector<IntegralEngine1<double> const*, std::allocator<IntegralEngine1<double> const*> > >, IntegralEngine1<double> const*&&)
  0.00      0.62     0.00       36     0.00     0.00  RadialFunctionImplementation::RadialFunctionImplementation(Vector3D<double> const&, int)
  0.00      0.62     0.00       36     0.00     0.00  virtual thunk to BasisSetImplementation::GetStartIndex() const
  0.00      0.62     0.00       35     0.00     0.00  Matrix<double>::Matrix(Matrix<double> const&)
  0.00      0.62     0.00       33     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.62     0.00       32     0.00     0.00  double Sum<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Data)1>(Indexable<double, Xpr<double, XprBinary<double, double, double, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, Ref<double, Indexable<double, SMatrix<double>, (Store)1, (Data)0, (Shape)2>, (Shape)2>, (Shape)2>, (Store)1, (Data)0, (Shape)2>, (Store)1, (Data)1, (Shape)2> const&)
